"HR","Name","Vmag","IRflag","RA1900","DE1900","RA","DE","GLON","GLAT","""B-V""","""U-B""","pmRA","pmDE","RadVel"
2409,"",5.8,"",6.50175,0.969444444444444,6.58772222222222,0.89,210.29,-3.19,0,-0.45,-0.001,-0.006,10
2410,"",6.15,"",6.50302777777778,-60.1944444444444,6.51961111111111,-60.1202777777778,271.43,-26.05,-0.15,NA,-0.013,0.008,34
2411,"",5.42,"I",6.50530555555556,-35.8427777777778,6.56375,-35.7677777777778,244.69,-18.94,1.44,1.72,-0.014,0.094,32
2412,"Mu  Pic",5.7,"",6.50802777777778,-57.3216666666667,6.53288888888889,-57.2458333333333,268.03,-25.4,-0.06,-0.18,0.004,-0.011,2
2413,"",6.55,"",6.51172222222222,4.57833333333333,6.6,4.4975,207.17,-1.37,-0.06,-0.28,-0.021,-0.005,13
2414,"5Xi 2CMa",4.54,"",6.51441666666667,-21.1144444444444,6.58427777777778,-21.0352777777778,231.99,-13.68,-0.05,-0.03,0.011,0.016,26
2415,"",5.62,"",6.51466666666667,-31.3627777777778,6.57647222222222,-31.2836111111111,241.29,-17.54,-0.08,-0.23,0.005,-0.001,28
2416,"",6.19,"",6.51955555555556,-51.7480555555556,6.55725,-51.6711111111111,261.18,-23.8,1.09,NA,-0.044,0.04,6
2417,"",6.44,"",6.52205555555556,24.6738888888889,6.62422222222222,24.5908333333333,189.38,8.07,0.1,0.05,-0.016,0.008,-2
2418,"",5.52,"",6.52775,-4.87194444444444,6.60980555555556,-4.78888888888889,215.89,-5.67,-0.08,-0.39,0,-0.017,27
2419,"51    Aur",5.69,"I",6.52880555555556,39.4791666666667,6.64430555555556,39.3908333333333,175.79,14.54,1.35,1.56,-0.023,-0.109,33
2420,"52Psi3Aur",5.2,"",6.53091666666667,39.9883333333333,6.647,39.9025,175.32,14.77,-0.07,-0.4,-0.009,-0.012,9
2421,"24Gam Gem",1.93,"I",6.53225,16.4847222222222,6.62852777777778,16.3991666666667,196.77,4.45,0,0.04,0.042,-0.042,-13
2422,"",6.06,"",6.534,6.21944444444444,6.62336111111111,6.13527777777778,205.87,-0.31,0.05,-0.88,0.006,-0.001,25
2423,"6Nu 1CMa",5.7,"",6.53336111111111,-17.4225,6.60633333333333,-17.34,228.11,-11.61,0.85,0.49,-0.011,0.017,25
2424,"",5.59,"",6.53211111111111,-35.3008333333333,6.59002777777778,-35.22,245.35,-18.84,-0.14,-0.48,-0.011,0.018,23
2425,"53    Aur",5.79,"",6.53402777777778,29.07,6.63972222222222,28.9841666666667,185.47,10.17,0,-0.07,-0.021,-0.021,18
2426,"",6.38,"",6.53455555555556,10.9386111111111,6.62691666666667,10.8530555555556,201.71,1.9,NA,NA,-0.039,-0.039,2
2427,"50Psi2Aur",4.79,"I",6.5365,42.5769444444445,6.65552777777778,42.4888888888889,172.89,15.86,1.23,1.29,0.006,-0.058,17
2428,"",5.97,"I",6.53622222222222,-12.7633333333333,6.61297222222222,-12.6791666666667,223.24,-9.23,1.56,NA,0.011,-0.023,-12
2429,"7Nu 2CMa",3.95,"I",6.53869444444444,-18.8294444444444,6.61138888888889,-18.7441666666667,228.69,-11.8,1.06,1.01,0.059,-0.062,3
2430,"",6.17,"",6.54080555555556,2.79027777777778,6.62786111111111,2.70416666666667,208.95,-1.82,1.08,0.96,-0.038,-0.049,-8
2431,"",6.35,"",6.53980555555556,-35.9966666666667,6.59833333333333,-35.9111111111111,244.7,-18.5,0.48,NA,-0.058,-0.095,28
2432,"",6.15,"",6.54272222222222,5.04194444444444,6.63130555555556,4.95722222222222,206.98,-0.75,0.14,-0.74,-0.004,0.02,33
2433,"",6.35,"",6.54130555555556,-21.4688888888889,6.61136111111111,-21.385,231.82,-13.19,-0.11,-0.54,-0.031,-0.006,34
2434,"",6.41,"",6.54516666666667,44.1019444444444,6.66611111111111,44.0138888888889,171.46,16.55,NA,NA,0.033,-0.003,-30
2435,"",4.39,"",6.54619444444444,-51.1061111111111,6.58294444444444,-51.0244444444444,261.93,-23.73,-0.02,-0.15,-0.003,0.007,23
2436,"",6.04,"",6.55119444444444,22.1188888888889,6.65147222222222,22.0308333333333,191.86,7.27,1.03,NA,0.011,-0.025,-9
2437,"",6.12,"",6.55102777777778,-11.1041666666667,6.62802777777778,-11.015,223.03,-8.89,1,NA,0.03,-0.124,9
2438,"54    Aur",6.03,"",6.55408333333333,28.3513888888889,6.65919444444445,28.2630555555556,186.24,10.1,-0.08,-0.48,-0.006,-0.014,19
2439,"",6.38,"",6.5565,24.6858333333333,6.65872222222222,24.6,189.58,8.5,0.53,NA,0.006,0.084,18
2440,"",6.14,"I",6.55527777777778,-1.54277777777778,6.63902777777778,-1.45638888888889,213.71,-4.07,1.48,1.77,-0.018,0.015,27
